id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
273610105,Điện Thoại Samsung Galaxy A05 - Hàng Chính Hãng,2875000,2875000,0,0,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
273610368,Điện Thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,5450000,6590000,1140000,17,17,5.0,1458.0,Samsung,Trung Quốc,dien-thoai-smartphone,Điện thoại
273634022,Laptop HP Pavilion 15-eg2083TU 7C0W9PA (Core i5-1240P | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD IPS | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng Tại HP Việt Nam,15890000,15890000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273636845,Điện Thoại Samsung Galaxy A05 (4GB/64GB) - Hàng Chính Hãng,2875000,2875000,0,0,0,0.0,2.0,Samsung,,dien-thoai-smartphone,Điện thoại
273647623,Laptop HP Pavilion 15-eg3093TU 8C5L4PA (Core i5-1335U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Windows 11 | Vàng) - Hàng Chính Hãng - Bảo Hành 12 Tháng Tại HP Việt Nam,23990000,23990000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273653444,Máy tính bảng Kindle Fire Hd 10 2023 13th - Hàng nhập khẩu,3790000,3790000,0,0,0,0.0,0.0,,,may-tinh-bang,Máy tính bảng
273664463,Điện Thoại Oppo A18 4GB/128GB - Hàng Chính Hãng,3159000,3990000,831000,21,2,5.0,6.0,OPPO,,dien-thoai-smartphone,Điện thoại
273668660,Điện Thoại Oppo A18 4GB/64GB - Hàng Chính Hãng,2899000,3690000,791000,21,2,5.0,3.0,OPPO,,dien-thoai-smartphone,Điện thoại
273679076,Laptop Dell Latitude 3520 (Core i5-1135G7 | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD - HÀNG CHÍNH HÃNG,8650000,8650000,0,0,0,0.0,1.0,Dell,Nhật Bản,laptop-truyen-thong,Laptop
273679080,Laptop Dell Latitude 3410 (L3410I5SSD) (i5 10210U 8GB RAM/256GB SSD/14.0 inch HD/Fedora/Xám) - HÀNG CHÍNH HÃNG,8450000,8450000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273683300,Điện thoại Samsung Galaxy A15 LTE (8GB/128GB) - Hàng chính hãng,4209000,4990000,781000,16,0,0.0,1.0,Samsung,Hàn Quốc,dien-thoai-smartphone,Điện thoại
273684137,Máy tính bảng quản lý thời gian sử dụng dành cho trẻ em Tab8 Kidzone-1 đổi 1 trong vòng 100 ngày,1990000,1990000,0,0,5,4.6,16.0,Masstel,Trung Quốc,may-tinh-bang,Máy tính bảng
273684164,Laptop HP Pavilion 15-eg2082TU 7C0Q5PA (Core i5-1240P | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Vàng) - Hàng Chính Hãng - Bảo Hành 12 Tháng Tại HP Việt Nam,15890000,15890000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273685412,Điện thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,6540000,6590000,50000,1,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
273698446,Laptop Asus Zenbook 14 OLED UX3402VA (Intel Core I5-1340P | Ram 16GB | SSD 512GB | 14 inch OLED WQXGA+ | Win 11 Bản quyền - Asus-UX3402VA-KM085W ) - Hàng Chính Hãng,24590000,37990000,13400000,35,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273716533,Laptop Asus Expertbook B1502CBA B1502 (Intel Core i5-1235U | RAM 8GB | 512GB SSD | Intel UHD Graphics | 15.6 inch Full HD | Win 11 bản quyền) - Hàng Chính Hãng,13790000,18890000,5100000,27,0,0.0,1.0,Asus,Trung Quốc,laptop-truyen-thong,Laptop
273718967,Điện Thoại Samsung A15 8GB/128GB - Hàng Chính Hãng,4087000,4990000,903000,18,7,5.0,28.0,Samsung,,dien-thoai-smartphone,Điện thoại
273747303,Laptop Giá Rẻ Dell Vostro V3591 i3 1005G1/8GB/256GB/Intel UHD Graphics/Win 10  Hàng Chính Hãng,4900000,4900000,0,0,0,0.0,2.0,Dell,China,laptop-truyen-thong,Laptop
273747677,DELL LATITUDE E3510 (I5-102104U/ RAM 16GB/ 256GB SSD NVME/ 15.6 INCH FULL HD) Hàng Chính Hãng,8290000,8290000,0,0,1,4.0,2.0,Dell,Nhật Bản,laptop-truyen-thong,Laptop
273791774,Laptop Asus Vivobook 15 X1504ZA-NJ582W (Intel Core i3-1215U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 24 Tháng,9950000,9950000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273872197,Máy Tính Bảng Samsung Galaxy Tab A9 Wifi 4GB/64GB - Hàng Chính Hãng,2649000,3990000,1341000,34,5,5.0,13.0,Samsung,,may-tinh-bang,Máy tính bảng
273891036,Laptop Asus Zenbook 14 OLED UX3405MA-PP151W (Intel Core Ultra 5 125H | 16GB | 512GB | Intel Arc | 14 inch 3K OLED | Win 11 | Xanh) - Hàng Chính Hãng - Bảo Hành 24 Tháng,26750000,26750000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273942001,Điện thoại Xiaomi Redmi Note 13 (6GB/128GB) - Hàng chính hãng,3990000,4590000,600000,13,129,4.8,600.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
273949286,Laptop Asus Expertbook B1502 - B1502CV (Intel Core i5-1335U | RAM 8GB | 512GB SSD | Intel UHD Graphics | 15.6 inch Full HD | Win 11 bản quyền) - Hàng Chính Hãng,14190000,22900000,8710000,38,0,0.0,0.0,,,laptop-truyen-thong,Laptop
273951550,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,3950000,4990000,1040000,21,81,5.0,473.0,Samsung,Trung Quốc,dien-thoai-smartphone,Điện thoại
273958512,Điện thoại Xiaomi Redmi Note 13 (6GB/128GB) - Hàng chính hãng,4119000,4890000,771000,16,0,0.0,1.0,Xiaomi,Trung Quốc,dien-thoai-smartphone,Điện thoại
273990229,Điện Thoại Xiaomi Redmi Note 13 6GB/128GB - Hàng Chính Hãng,3989000,4890000,901000,18,5,5.0,13.0,Xiaomi,,dien-thoai-smartphone,Điện thoại
274015544,Laptop Asus Vivobook S 14 Flip TP3402VA-LZ118W (Intel Core i9-13900H | 16GB | 512GB | Intel UHD | 14.0-inch WUXGA | Cảm ứng | Win 11 | Bạc) - Hàng Chính Hãng - Bảo Hành 24 Tháng,23050000,23050000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
274019962,"Điện thoại Masstel Fami 8 4G(LTE) Gọi HD call , Bàn phím chữ số lớn,Loa to - Hàng chính hãng",549000,669000,120000,18,1,5.0,8.0,Masstel,Việt Nam,dien-thoai-pho-thong,Điện thoại
274030201,Điện thoại TECNO SPARK 10 8GB/128GB - Hàng Chính Hãng,2849000,3590000,741000,21,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
